rating	review	book_title	user	review_title
0	SOME BOOKS I ALREADY OWN WHICH I PLAN TO FINISH BEFORE BUYING THE HUNGER GAMESJohn Lanchester, Mr. PhillipsMargaret Atwood, Oryx and CrakeSteven Weinberg, The First Three MinutesJean-Jacques Semp, Le Petit NicolasMerritt Ruhlen, The Origin of LanguagePernilla Stalfelt, Le petit livre de cacaHube...	The Hunger Games	Manny	SOME BOOKS I ALREADY OWN
5	Oh no. You've awakened the beast. It's Jackniss!!Yeah. So maybe Matthew Fox from Lost isn't exactly the person you had in mind when you thought about who they might cast as Katniss in The Hunger Games, but I was inspired to create that after I saw this site called Jackimals. You might want to wai...	The Hunger Games	Lyndsey	Oh no
3	...	The Hunger Games	Huda Yahya	
5	How can so much awesome be in one book?	The Hunger Games	Morgan F	How can so much awesome
2	My The Hunger Games week 23rd march- movie is released24th march- I read this review and end up watching excellent trailers, Later I downloaded the excerpt and kind of liked the first chapter25th march- I am a proud owner of the book. Yay!26th to 27th march- I started reading the bookThis is h...	The Hunger Games	Nilesh Kashyap	My The Hunger Games week
5	Part 3-Victor. Wow, I'm having trouble putting this down now, very exciting although I wish they hadn't changed the rules.	The Hunger Games	Buggy	Part 3-Victor
3	I sat down to this book prepared to be captivated in its pages. But I was disappointed. I was always expecting that finally the author would show her genius and knock me off my feet. But it never happened. Yes, it was exciting and entertaining. But it wasn't a truly great book. I could not stop c...	The Hunger Games	Tessa	I sat down to this
5	Well this book lived up to a lot of the hype that surrounds it. While the name and cover still do not grab my attention the story, once started, did.This book is written in first perspective, from the heroine's aspect. Her name is Katniss Everdeen. She starts off in her home, a simple, poor area...	The Hunger Games	Jamie	Well this book lived up
1	***UPDATE 15 April 2014*** I've now seen the movie...yes, watched the movie of the book I didn't like...and it made less sense than the book! But it was really pretty to look at.Pearl RuledRating: 1* of five (p81)What was I thinking? I don't like books about teens. Well, that's not entirely true....	The Hunger Games	Richard Derus	***UPDATE 15 April 2014*** I've
5	"""The Most Dangerous Game"" meets Survivor. I loved it: deft characterization wrapped tightly around this lean, brutal plot that absolutely grabbed me and hung on. This was one that I started reading in the morning and snarled at all comers until I had finished it in the evening. HIGHLY RECOMMEND.*..."	The Hunger Games	Maggie Stiefvater	"""The Most Dangerous Game"" meets"
5	allow me to be relevant for a moment: oh my god, this book is outstanding!! it is all good things; battle royale, blood of heroes (one of the best movies ever made - dont argue with me), and all the best elements of this survivalist gary paulsen jag i am on. it kept me up way past my bedtime last...	The Hunger Games	karen	allow me to be relevant
5	5 stars to Suzanne Collins's The Hunger Games. Such a popular series, so many people have read it or watched the movies... do I really need to do a review?  But since I've put it in my top 20 favorite books, isn't there an obligation to review it? YES  Let's make it simple... it may be young adul...	The Hunger Games	James	5 stars to Suzanne Collins's
5	One taught me patience. One taught me pain.	The Hunger Games	Kai	One taught me patience
1	First of all, I know you're looking at my rating and wondering what's wrong with me. For one thing, this book's gotten at least 4 stars from everyone else. For another, everyone seems to think that it's the best book of the year. I won't dispute what everyone else has said about this book, becaus...	The Hunger Games	Brandi	First of all, I know
5	Gahh it&aposs getting so good!	Harry Potter and the Order of the Phoenix	Sasha Alsberg	Gahh it&aposs getting so good
0	The shit has well and truly hit the fan.	Harry Potter and the Order of the Phoenix	Lily C	The shit has well and
5	I had to re read it. I was in such a nostalgic mood.	Harry Potter and the Order of the Phoenix	Hannah	I had to re read
5	Dolores Umbridge. I think I might actually hate this mummified toad's scrotum masquerading as a witch as much as I do Voldemort.	Harry Potter and the Order of the Phoenix	Navessa	Dolores Umbridge
5	Harry could still hear the distant bangs of escaped firecrackers when he and Ron went up to bed an hour later, and as he got undressed a sparkler floated past the tower, still resolutely spelling the word 'POO'.	Harry Potter and the Order of the Phoenix	Kai	Harry could still hear the
5	3 I&aposm crying.	Harry Potter and the Order of the Phoenix	Jessika	3 I&aposm crying
5	ITS THESTRAL TIME, BABY	Harry Potter and the Order of the Phoenix	Raeleen Lemay	ITS THESTRAL TIME, BABY
5	(A) 86% | ExtraordinaryNotes: Its a transitional book, which holds back its potential, but it adds greatly to its mythos with excellent new characters.	Harry Potter and the Order of the Phoenix	Jayson	(A) 86% | ExtraordinaryNotes: Its
5	Despite this being the longest book in the series, I read it quicker than all the others. Heres three things I really loved about it: 1. Harry and Sirius- they never had much time together but the time they did have really influenced Harrys development, a few wise words from a sincere friend (o...	Harry Potter and the Order of the Phoenix	Sean Barrs the Bookdragon	Despite this being the longest
5	McGonagall is such a badass. Forever in awe of her.	Harry Potter and the Order of the Phoenix	Inge	McGonagall is such a badass
5	I know the feeling dear, Harry! Happy Potter Reading! Mel	Harry Potter and the Order of the Phoenix	Melissa ♥ Dog/Wolf Lover ♥ Martin	I know the feeling dear,
5	I am always ready to pop off on anyone who says they dont like this book because Harry is so angsty and annoying in it. Well, why dont you go ahead and watch a peer die, Adolf Hitler come back to life, have a trusted adult admit theyve been lying and manipulating you, and then get sent home...	Harry Potter and the Order of the Phoenix	• Lindsey Dahling •	I am always ready to
5	Umbridge? More like Umbitch.That woman deserves to die. Painfully.	Harry Potter and the Order of the Phoenix	Ayesha (The Fifth Marauder) 	Umbridge
5	Go Dumbledore!	Harry Potter and the Order of the Phoenix	Kassidy	Go Dumbledore
0	HOW DARE ANYONE HURT MCGONGALL. WHAT IS THIS UNIVERSE.	Harry Potter and the Order of the Phoenix	C.G. Drews	HOW DARE ANYONE HURT MCGONGALL
4	I really feel like the movie did a much better job with the last 100 pages than the actual book. I felt no emotion whatsoever when Sirius died and I'm not really excited by all the fighting and confrontations.	Harry Potter and the Order of the Phoenix	Mikee Andrea (ReadWithMikee)	I really feel like the
5	Full review and other non-spoilery reviews can be found @The Book Prescription* On a scale from one to ten, how obsessed with Harry Potter are you?me: about 9	Harry Potter and the Order of the Phoenix	Hamad	Full review and other non-spoilery
4	Is it just me, or does Sirius Black sometimes feel like the child here? Also, the Weasley twins. *swoon*	Harry Potter and the Order of the Phoenix	Chelsea Humphrey	Is it just me, or
5	Angsty Harry is seriously one of the greatest teens ever written.	Harry Potter and the Order of the Phoenix	Cait • A Page with a View	Angsty Harry is seriously one
4	Can somebody shoot Umbridge please :v?	Harry Potter and the Order of the Phoenix	Claudia Ramírez	Can somebody shoot Umbridge please
5	I still can't believe my sixth grade self devoured all 870 pages in two sittings. Only you Jo, only you.	Harry Potter and the Order of the Phoenix	Saania Zee Jamal ϟ	I still can't believe my
5	Hello, I think this is my favourite book in the entire series, but also I barely remember what happened because I read most of this over three days while on vacation. All I recall is my parents yelling at me to do something other than read, all that good Sirius, Neville and Ginny content (my thre...	Harry Potter and the Order of the Phoenix	Grace (BURTSBOOKS)	Hello, I think this is
5	Forget the movie, it's just a 2 hours trailer for the Novel..                          ..           ...	Harry Potter and the Order of the Phoenix	Mohammed Arabey	Forget the movie, it's just
5	I don't think I (once again) need to mention how much I love J.K. Rowling's writing style. She is able to create this magical world filled with lovable, interesting and layered characters with simple, but very effective words. Her storytelling is the perfect blend of humor, sadness, suspense and...	Harry Potter and the Order of the Phoenix	Anne	I don't think I (once
5	6.0 stars. I know I am risking a serious FILM AT 11 moment and a club upside the head from Captain Obvious for voicing this, but nabbit dog I still think it needs to be saidTO KILL A MOCKINGBIRD is one of the BEST and MOST IMPORTANT American novels ever written. Okay, I said it, and I will wa...	To Kill a Mockingbird	Stephen	6
5	If you haven't read this as an adult - pick it up today I think there's just one kind of folks. Folks.  I (along with millions of other kids) first read this in grade-school. And I (along with those millions) didn't really get the point.I remember thinking, Well... I already know discrimination i...	To Kill a Mockingbird	Miranda Reads	If you haven't read this
5	Beautiful book.	To Kill a Mockingbird	Catriona (LittleBookOwl)	Beautiful book
5	To Kill a Mockingbird, Harper LeeTo Kill a Mockingbird is a novel by Harper Lee published in 1960. It was immediately successful, winning the Pulitzer Prize, and has become a classic of modern American literature. The plot and characters are loosely based on Lee's observations of her family, her...	To Kill a Mockingbird	Ahmad Sharabiani	To Kill a Mockingbird, Harper
5	In the course of 5 years, Ive read this book nearly 17 times. That adds up to reading it once at least every 4 months, on an average. And I still return to this book like a bark seeking a lighthouse in the dark. When I first finished it, I was so overwhelmed by how much I related to it, I read i...	To Kill a Mockingbird	Lit Bug	In the course of 5
5	Until I feared I would lose it, I never loved to read. One does not love breathing.(p. 20)I love this book and this idea of reading being like breathing. As Scout did, I read early too, and often. Every night before bed I would read and still do. I saw a Twilight Zone Episode once where the mai...	To Kill a Mockingbird	Houston	Until I feared I would
4	I really like Atticus. And Scout, too.	To Kill a Mockingbird	Claudia Ramírez	I really like Atticus
2	hi my name is may and i really Do Not Like this book	To Kill a Mockingbird	may ➹	hi my name is may
5	Im not going to do my usual thing where Id try to explain what I liked about this book. Normally, I would try to convince you why you should read it. I would speak about how important this book is and what message it could impart to its readers around the world. I would even say how it affected...	To Kill a Mockingbird	Sean Barrs the Bookdragon	Im not going to do
4	A short, important, and powerful classic that deserved all its fame.This will be a short review, theres nothing else I can talk about here that hasnt been discussed for the past 50 years and more.Racism, prejudice, rape, false accusation of rape, all of these are abhorrent and really should hav...	To Kill a Mockingbird	Petrik	A short, important, and powerful
5	I looked up Harper Lee online this is her only published book. However, she did write a few articles that one can find and read online:Love in other Words - VogueChristmas to me - McCallsWhen Children Discover AmericaRomance and High AdventureHer full name is Nellie Harper Lee - I bet she dropped...	To Kill a Mockingbird	Denise	I looked up Harper Lee
5	Best book ever written? Best book ever written.	To Kill a Mockingbird	Ana O	Best book ever written
5	"#readTKAM ""Miss Jean Louise, stand up. Your father's passin'."" EMOTIONS DON'T MIND ME JUST CRYING OVER HERE"	To Kill a Mockingbird	Maureen	"#readTKAM ""Miss Jean Louise, stand"
5	"Life gives you a few things that you can count on. Death (for all), taxes (for most), and the unwavering moral character of Atticus Finch (for me). ""What would Atticus do?"" is not just a meme; for eleven-year-old me it became a real consideration after I feigned an illness to cut school and stay..."	To Kill a Mockingbird	Nataliya	Life gives you a few
5	"""           ,    """	To Kill a Mockingbird	°°°·.°·..·°¯°·._.· ʜᴇʟᴇɴ Ροζουλί Εωσφόρος ·._.·°¯°·.·° .·°°° ★·.·´¯`·.·★ Ⓥⓔⓡⓝⓤⓢ Ⓟⓞⓡⓣⓘⓣⓞⓡ Ⓐⓡⓒⓐⓝⓤⓢ Ταμετούρο   Αμ	"""    "
5	Alabama in U.S.A., 1935 during the crippling bleak, Great Depression, Atticus Finch a widower, struggling lawyer and ultimate believer in justice for everybody, (a gentleman, if ever there was one) is raising two small children Scout, (Jean Louise) and Jem, (Jeremy) a typical American boy, he lik...	To Kill a Mockingbird	Henry Avila	Alabama in U
5	Even in the evil times when John Crow ruled the South and the Blacks were scarcely more free than in times of slavery and were allowed no civic power nor respect from their erswhile masters who were White, good men did their best.As regards this book, the last phrase is a lie.Atticus, a lawyer an...	To Kill a Mockingbird	Petra Eggs	Even in the evil times
5	This is on a short list with Moby-Dick; or, The Whale and The Old Man and the Sea for the great American novel. And this one stands apart as a novel that is also a celebration of courage, integrity, and dignity. If ever there is a lawyer who, at least once, didnt admire and want to be like Attic...	To Kill a Mockingbird	Lyn	This is on a short
4	Thus it becomes crystal clear why this classic is a must for kids. Surely it stands on an even shelf with the Harry Potter series (take in mind: its a Millennial writing this review); it's ripe with conventions that can be cracked open in the classroom, where the love for literature begins for mo...	To Kill a Mockingbird	Fabian	Thus it becomes crystal clear
1	A friend of mine once commented that To Kill a Mockingbird was the most racist book he'd ever read.I agree with him. Now, I know this book is drawn from the author's true experiences, but she choose to write a novel and thus I will judge it as a novel. With it's irrevocable integration into the A...	To Kill a Mockingbird	Rishi	A friend of mine once
5	Giving one of the most acclaimed books of all time a 5 makes me feel all lovey-dovey. There was a time when I didn't agree with most of the established literature. But now that I've read TKaM, that issue has partially been addressed.I approached reading this book with wariness and some pessimism,...	To Kill a Mockingbird	Luffy	Giving one of the most
4	Our June classics book! Discussion on the blog Friday 6/26, in preparation for the sequel releasing in July. My re-read is on audio, with Sissy Spacek as narrator.	To Kill a Mockingbird	Wendy Darling	Our June classics book
5	"6.0 stars. Confession...this book gave me an earth-shattering Janeaustegasm and I am feeling a bit spent and vulnerable at the moment, so please bear with me. You see, I decided I wanted to get more literated by reading the ""classicals"" in between my steady flow of science fiction, mystery and ho..."	Pride and Prejudice	Stephen	6
4	"""Pride and Prejudice"" by Jane Austen started off annoying me and ended up enchanting me. Up until about page one hundred I found this book vexing, frivolous and down right tedious. I now count myself as a convert to the Austen cult. I must confess I have been known to express an antipathy for any..."	Pride and Prejudice	Rolls	"""Pride and Prejudice"" by Jane"
5	Where my massive crush on Jane Austen began: alone, on a hot day in Montana, cursing her name.I had to read it for AP English and I could not see the point. Girls need to marry. Girls can't get married. Girls are sad. Girls get married. Girls are happy.I went to school to half heartedly discuss i...	Pride and Prejudice	MacK	Where my massive crush on
5	Mr. Collins, kindly shut up. (Also, I'm reading this way too quickly. I have all month for this re-read, slow down!)	Pride and Prejudice	Zoë	Mr
5	I finally did it!!!! And I loved it!!!!	Pride and Prejudice	Hailey (Hailey in Bookland)	I finally did it
5	I was forced to read this by my future wife.I was not, however, forced to give it 5 stars.	Pride and Prejudice	Troy	I was forced to read
5	In vain have I struggled. It will not do. My feelings will not be repressed. You must allow me to tell you how ardently I admire and love you.	Pride and Prejudice	Hira	In vain have I struggled
5	Critics who consider Austen's works trivial because of their rigid, upper-class setting, wealthy characters, domestic, mannered plots and happy endings are almost totally disconnected from reality, as far as I can tell. What can they possibly expect an upper-middle class English woman to write ab...	Pride and Prejudice	Anne	Critics who consider Austen's works
4	Well-loathed books I've re-readRating: 4 very annoyed, crow-feathered stars out of fiveThe Book Report: No. Seriously. If your first language isn't English, or if you're like nine years old, you might not know the story. Note use of conditional. My Review: All right. All right, dammit! I re-read...	Pride and Prejudice	Richard Derus	Well-loathed books I've re-readRating: 4
5	Mr. Darcy...*swoons*First, we need to clear something up. Colin Firth is the only Mr. Darcy.That other Mr. Darcy was horrible! No, no, no, no, nooooo!Make it stop. Make. It. Stop. Tell the bad man to go away, Mommy!So, quite obviously, the BBC miniseries (in all its 327 minute glory) is the only...	Pride and Prejudice	Anne	Mr
5	Society, with all its restrictive constructs, is one nasty piece of work. It comes with so many silly rules, so many silly expectations. Those of social station and wealth must be seen to marry someone of the same worth regardless of the feelings involved; they must be seen to marry someone on...	Pride and Prejudice	Sean Barrs the Bookdragon	Society, with all its restrictive
5	The writing style is phenomenal	Pride and Prejudice	Nick	The writing style is phenomenal
3	it is official: now everyone on the planet has read this book. i was the last holdout, and being the last person (excluding those who are just being born...... now) i am sorry i didn't like it more. i knew going into it that i was not a jane austen girl; i had read two others and thought them blo...	Pride and Prejudice	karen	it is official: now everyone
0	Fascinating, the boundaries of delicacy--instances where nowadays people would be tweeting to the world, Austen's characters keep silence.	Pride and Prejudice	Sherwood Smith	Fascinating, the boundaries of delicacy--instances
5	"Lady Catherine has been of infinite use, which ought to make her happy, for she loves to be of use."""	Pride and Prejudice	Tadiana ✩Night Owl☽	Lady Catherine has been of
4	938. Pride and Prejudice, Jane AustenPride and Prejudice is a romantic novel by Jane Austen, first published in 1813. The story charts the emotional development of the protagonist, Elizabeth Bennet, who learns the error of making hasty judgments and comes to appreciate the difference between the...	Pride and Prejudice	Ahmad Sharabiani	938
5	A quintessential novel of manners. Fine moral intelligence and subtle psychological insight expressed in a straightforward, epigrammatic style. I read it for the first time forty years ago, and I am still half in love with Eliza Bennet.	Pride and Prejudice	Bill  Kerwin	A quintessential novel of manners
2	18 chapters in... I want that to sink in for a moment... ok. 18 chapters in and NOTHING has happened. I am enjoying her writing style very much, but I also enjoy the back of an occasional cereal box so that may not mean much. We will see.I am sitting here eating a tootsie roll, a Halloween left o...	Pride and Prejudice	Peter Meredith	18 chapters in
5	So the other day Elizabeth and I are in the book store and she saw this book, and said she really wanted me to read it. In horror at the thought of reading what I thought was a 'chick book', i immediately countered that she would then have to read one of my favorites: Dune. She agreed!So I read i...	Pride and Prejudice	Otis Chandler	So the other day Elizabeth
4	i am still at a neckbreaking speed of a catterpillar ggrr. however, i believe my love for mr. darcy will help me through.	Pride and Prejudice	Jasmin	i am still at a
5	Just a few words to express how I loved Jane Austen's Pride and Prejudice. So much has already been said, that I feel almost redundant. 'Pride and Prejudice' for me is above all about womens choices in marriage, or the possibility of love versus choosing for money or social position. During Aust...	Pride and Prejudice	Lizzy	Just a few words to
4	can you believe elizabeth and darcy invented the 'enemies to lovers' trope and have been the most iconic power couple to exist ever since	Pride and Prejudice	may ❀	can you believe elizabeth and
5	I know we're all here for this: But I just love EVERY single character so much. The entire Bennet family is hilariously perfect -- I even have this weird fondness for Mr. Collins. Pride & Prejudice retellings will forever be my favorite because there's just so much you can do with these chara...	Pride and Prejudice	Cait • A Page with a View	I know we're all here
5	If somebody had told me that I'd love a romance before I read this book, I would have laughed derisively.In my late teens, romance was just not my cup of tea: it was meant for (yechch!) - girls. I was happily reading about those brave and hardy men who blew up German castles (during World War II)...	Pride and Prejudice	Nandakishore Varma	If somebody had told me
3	Revived review to celebrate the 200th anniversary of the death of Jane Austen. Go Jane - like a cute little tortoise you have outlasted all of those bustling hares.****It is a truth which I would like to see universally acknowledged, that no one voluntarily reads any 19th century novels unless th...	Pride and Prejudice	Paul Bryant	Revived review to celebrate the
1	Okay, I have to say that I picked this book up partly due to all the hype (and partly because it's involved two of my favorite genres)... I mean, so many people had recommended it to me and I finally got sick of hearing about it, so I picked it up and read it... or as least tried to.Let me first...	Twilight	Sarah	Okay, I have to say
1	Would I ever get used to his perfection? If I hear how perfect Edward is one more time...	Twilight	Steph Sinclair	Would I ever get used
3	It turns out we don't need Dr. John Gray to tell us that men are from Transylvania and women are from Venus. We just need to read Stephenie Meyer books. For example, from this book we learn that the millions of women who have wolfed down the Twilight series (pun intended) want men who:1. Talk abo...	Twilight	James	It turns out we don't
1	I really enjoy lively details. There's nothing better than knowing an author has really thought about her characters and situations, and come up with some surprising and delightful detail that makes the whole reading experience fuller. Lively details, you understand -- pointless details are a nig...	Twilight	Nicola	I really enjoy lively details
1	I hate this book. I will probably end up reading the rest of them, because if I don't, people that love this thing will think they can convert me if I just keep reading. (ETA (Jan. 2013): Never even remotely bothered to finish the series.)In short: the writing mechanics are atrocious. The dialogu...	Twilight	Clare Richardson	I hate this book
2	my name is bella. bella swan. here's what stephenie didn't tell you. it's super-duper-important.on the morning after it rained, it was rainy outside and i frowned at it being so rainy all the time. i chuckled to myself, darn weather! i stared at the rain outside, which is where they usually keep...	Twilight	brian   	my name is bella
3	I actually had to give this book three separate reviews by three sides of my personality. My three-star rating is the median of the three:Review 1, by My Inner Fifteen Year Old Girl (5 stars):Bella is smart, funny, well-read, pretty and yet misunderstood by most of her peers (just like me). Then...	Twilight	Chris Van Dyke	I actually had to give
1	Words need not be said. Anything Comic	Twilight	Jared Vincent Lacaran	Words need not be said
1	"Save your time: here's the entirety of Twilight in 20 dialogue snippets & a wiggedy-wack intermission.First 200 pages:""I like you, Edward!""""You shouldn't! I'm dangerous!""""I like you, Edward!""""But I'm dangerous!""Next 50 pages:""I'm a vampire!""""I like you, Edward!""""But I'm a vampire! I'm dangero..."	Twilight	Joe	Save your time: here's the
5	"Oh my. This book, to me, is like chocolate: a delicious, sinful, addictive indulgence which you convince yourself has beneficial qualities (zinc, calcium, keeps me quiet at that time of the month...) in order to justify your addiction.By ""beneficial qualities"", I mean that it's reading, and since..."	Twilight	Shannon (Giraffe Days)	Oh my
1	Let me give you an idea of how much my opinion of this book changed at different stages of reading. When I was about a third of the way through, I was so into it that I immediately put my name on the library reservations list for the sequel, and wishlisted every edition on BookMooch. Now, having...	Twilight	Trin	Let me give you an
5	"So, my review might be a bit biased...This was my first (and only major) episode of fangirling. I owned a tshirt (""vegetarian vampire""  - so edgy). I saw the first movie an embarrassingly high number of times in theater. I judged people based off of Team Edward or Team Jacob (for the record: Edw..."	Twilight	Miranda Reads	So, my review might be
2	... That is all.	Twilight	Blythe	
1	"Welcome to Part II of the Vampire Compatibility Test (VCT). Before we continue, let's briefly racap Part I of the VCT. Your score in Part I should have given you a good idea of how critically you judge vampire fiction, placing you in either ""Group A"" or ""Group B"" based on overall points scored...."	Twilight	Stephen	Welcome to Part II of
0	spoiler alert: he's a vampire!!!has anyone heard any press on this book yet?? i think that once the teens hear about it, the author will be quite successful. definite cinematic potential here.................................................................................pop - there goes my meyer...	Twilight	karen	spoiler alert: he's a vampire
2	Call me crazy, but Twilight wasn't that bad. Well, sure, it's bad, but it's not 1-star bad. The sequels were atrocious, sure, but the first book wasn't the worst crap I've ever read. What I suspect most of us hate about Twilight isn't the book itself, but the legion of rabid, terrifying fangirls....	Twilight	Khanh, first of her name, mother of bunnies	Call me crazy, but Twilight
5	"""Holy crow!"" Yeah surrrre, Bella, EDWARD is the one who talks in weird phrases."	Twilight	Zoë	"""Holy crow"
1	Twilight is lame and stupid.I think everyone knows that the characters are essentially the ones who make up the book. Its through them that the plot is developed, the conflicts are carried, the climax is revealed, stuff like that. And when youre writing in a first person POV, you have to make t...	Twilight	Mary	Twilight is lame and stupid
5	Where do I start with this? I don't know about you, but I was hyped when this book came out. Anything involving Vampires or Wolves....I want to read it. I read this again a couple of weeks ago and because I'm going to start reviewing more books (even though I'm not very good at it) I wanted to re...	Twilight	Jessica Edwards	Where do I start with
5	I'm tired of people ripping this book to pieces and secretely devouring it. I don't believe you for a second that you didn't enjoy it if you happened to have ratings and long rants about the following books.Accept it! Stephanie Meyer kept you reading her very long books! And you are only complain...	Twilight	V. PARENTAL GUIDANCE:  A Court of Wings and Ruin is NEW ADULT/EROTICA but Goodreads editors won't tell you	I'm tired of people ripping
2	The. chuckling is out of control, my dudes.	Twilight	Kiki	The
1	Ok... I know that I'm going to offend a lot of people with this review, but I feel that I have to be honest about this. There are quite a few things that bother me about this book, I will only list the top 5 here:1) Bella - She is the exact character that I do NOT want my daughters to have as a r...	Twilight	Annette	Ok
1	there are so many problems with this book that i can't even begin to address them all. but i will say this, 'twilight' is probably one of the worst, if not THE worst, books i've ever read. the writing is amateurish at best [cliches, stereotypes, purple prose--how anyone can applaud meyer's prose...	Twilight	Matt	there are so many problems
0	Since this book has already been reviewed from hell to high water, I thought that I could treat you all to what this whole book (and small part of New Moon, as well) was in a simple little gif nutshell. Enjoy, all: And that's pretty much it.	Twilight	Cait	Since this book has already
5	I like the night. Without the dark, we'd never see the stars.I love Twilight. I love the whole series.There is a reason this was so popular. It's one of the big love stories of our time. You may roll your eyes now but it's true. It's so incredibly romantic. The vampire thing is just another exc...	Twilight	Kai	I like the night
5	wow. ten years later and im still absolute trash for edward cullen!?!? i guess my love for EC is just as immortal as he his. hehehe. going into this reread, i honestly didnt know what to expect. i thought there was potential for me to completely hate it, but i could also see myself still enjoying...	Twilight	jessica	wow
1	So I re-read Twilight 10 years after I first read it and... I guess you could say I didn't love it as much as I did back then...	Twilight	Catriona (LittleBookOwl)	So I re-read Twilight 10
1	Since, according to the news, the sun is about to set on the Twilight movie franchise (because this stuff is apparently news-worthy), I will take this opportunity to share my favorite Twilight-bashing resources with you, my friends.*But wait, you say! Shouldn't I take some time to actually *revie...	Twilight	Nataliya	Since, according to the news,
3	Whyyyy would a town with snow and rain have a school built like this.	Twilight	Cait • A Page with a View	Whyyyy would a town with
3	THE BOOK THIEF: A Summary. Liesel: Hi, I'm Liesel. I have no personality, but I'm a cute little girl. Death: Her name is not Liesel. Her name is THE BOOK THIEF and I shall name her that for the rest of the book.Liesel: Even though I stole, like, 3 books in total or something. Death: Shut up, Book...	The Book Thief	Sophia.	THE BOOK THIEF: A Summary
5	This is a book to treasure, a new classic. I absolutely loved it.Set in Germany in the years 1939-1943, The Book Thief tells the story of Liesel, narrated by Death who has in his possession the book she wrote about these years. So, in a way, they are both book thieves. Liesel steals randomly at f...	The Book Thief	Shannon (Giraffe Days)	This is a book to
1	UPDATE: AUG 26, 2016: This review has been here 8 years, has 18 pages of 854 comments and 764 likes. There's no outrage for you to add in the comments section that hasn't already been addressed.If you want to talk about the book, or why you liked it, or anything else, feel free. UPDATE: FEB 17, 2...	The Book Thief	La Petite Américaine	UPDATE: AUG 26, 2016: This
5	I put off reading this book for the library book club. Here are my three reasons for doing so:1) It's a Young Adult Book. I am an Adult. It can't be that good if it's written for young people.2) It's about the Holocaust, and I think we've all heard enough about that. The author will probably even...	The Book Thief	Colleen	I put off reading this
5	I give this 5 stars, BUT there is a disclaimer: If you want a fast read, this book is not for you. If you only like happy endings this book is not for you. If you don't like experimental fiction, this book is not for you. If you love to read and if you love to care about the characters you read a...	The Book Thief	Tamara	I give this 5 stars,
